container.title,created,deposited,published.print,doi,indexed,issn,issue,issued,page,publisher,source,subject,title,type,url,short.container.title,language
Acta Herpetologica Japonica,2017-10-23,2017-10-23,1965,10.5358/hsj1964.1.3_41,2022-04-03,"0285-3191,1883-4493",3,1965,41-49,Herpetological Society of Japan,Crossref,NA,Breeding of turtles and snakes,journal-article,http://dx.doi.org/10.5358/hsj1964.1.3_41,Acta Herpetol.Jpn.,en
Acta Arachnologica,2016-11-01,2017-06-24,2016,10.2476/asjaa.65.11,2022-04-02,"0001-5202,1880-7852",1,2016,11-13,Arachnological Society of Japan,Crossref,"Ecology, Evolution, Behavior and Systematics",A gynandromorph of the funnel-web spider &lt;I&gt;Allagelena opulenta&lt;/I&gt; (Araneae: Agelenidae),journal-article,http://dx.doi.org/10.2476/asjaa.65.11,"Acta Arachnol.,Acta Arachnologica",en
Plant tissue culture letters,2011-10-25,2021-05-20,1995,10.5511/plantbiotechnology1984.12.62,2022-03-30,"1884-7706,0289-5773",1,1995,62-67,Japanese Society for Plant Cell and Molecular Biology,Crossref,General Computer Science,Plant Regeneration from Protoplasts in Dianthus: Comparison of Cultural Behavior of Different Donor Tissues.,journal-article,http://dx.doi.org/10.5511/plantbiotechnology1984.12.62,Plant tissue culture letters,NA
Food Hygiene and Safety Science (Shokuhin Eiseigaku Zasshi),2011-11-16,2021-05-20,1991,10.3358/shokueishi.32.149,2022-03-31,"0015-6426,1882-1006",3,1991,149-154_1,Japanese Society for Food Hygiene and Safety,Crossref,General Medicine,Regional Differences in Toxicity of Pufferfish Fugu vermicularis radiatus (Nashifugu),journal-article,http://dx.doi.org/10.3358/shokueishi.32.149,J. Food Hyg. Soc. Jpn,NA
"JOURNAL OF THE SOCIETY OF BREWING,JAPAN",2011-12-16,2021-05-19,1976,10.6013/jbrewsocjapan1915.71.926,2022-03-29,"0369-416X,2186-4004",12,1976,926-931,Brewing Society of Japan,Crossref,General Medicine,NA,journal-article,http://dx.doi.org/10.6013/jbrewsocjapan1915.71.926,J.Soc.Brew.Japan,ja
Journal of Veterinary Epidemiology,2021-01-03,2021-01-09,2020-07-20,10.2743/jve.24.36,2022-04-05,"1343-2583,1881-2562",1,2020-07-20,36-39,Japan Society of Veterinary Epidemiology,Crossref,"Industrial and Manufacturing Engineering,Polymers and Plastics,Business and International Management",Avian Influenza Surveillance in Wild Birds in Japan: Current Status and Issues,journal-article,http://dx.doi.org/10.2743/jve.24.36,"JVE,J. Vet. Epidemol.",en
Current Herpetology,2018-08-29,2019-10-22,2018-08,10.5358/hsj.37.133,2022-03-30,"1345-5834,1881-1019",2,2018-08,133-142,Herpetological Society of Japan,Crossref,Animal Science and Zoology,Electronic Tag Retention and Survival of Giant Salamanders after Surgical Implantation,journal-article,http://dx.doi.org/10.5358/hsj.37.133,Current Herpetology,en
NA,2022-12-14,2023-02-15,NA,10.1101/2022.12.13.520061,2023-02-16,NA,NA,2022-12-13,NA,Cold Spring Harbor Laboratory,Crossref,NA,African army ants at the forefront of virome surveillance in a remote tropical forest,posted-content,http://dx.doi.org/10.1101/2022.12.13.520061,NA,NA
NA,2020-04-11,2021-12-15,NA,10.1101/2020.04.09.030536,2022-04-03,NA,NA,2020-04-10,NA,Cold Spring Harbor Laboratory,Crossref,NA,<i>MYB5a/NEGAN</i> activates petal anthocyanin pigmentation and shapes the MBW regulatory network in <i>Mimulus luteus</i> var. <i>variegatus</i>,posted-content,http://dx.doi.org/10.1101/2020.04.09.030536,NA,NA
NA,2023-01-14,2023-01-21,NA,10.1101/2023.01.12.523877,2023-01-22,NA,NA,2023-01-13,NA,Cold Spring Harbor Laboratory,Crossref,NA,Redox-active compound generated by bacterial crosstalk induces hypha branching in<i>Streptomyces</i>species,posted-content,http://dx.doi.org/10.1101/2023.01.12.523877,NA,NA
NA,2022-10-13,2022-10-15,NA,10.1101/2022.10.12.511941,2022-10-15,NA,NA,2022-10-12,NA,Cold Spring Harbor Laboratory,Crossref,NA,An optimized Tet-On system for conditional control of gene expression in sea urchins,posted-content,http://dx.doi.org/10.1101/2022.10.12.511941,NA,NA
Biological and Pharmaceutical Bulletin,2006-10-02,2021-02-24,2006,10.1248/bpb.29.2126,2023-02-14,"0918-6158,1347-5215",10,2006,2126-2130,Pharmaceutical Society of Japan,Crossref,"Pharmaceutical Science,Pharmacology,General Medicine",Activity of Neolignans Isolated from Piper regnellii (MIQ.) C. DC. var. pallescens (C. DC.) YUNCK against Trypanosoma cruzi,journal-article,http://dx.doi.org/10.1248/bpb.29.2126,"Biological &amp; Pharmaceutical Bulletin,Biol. Pharm. Bull.",en
Chromosome Botany,2007-12-19,2021-05-20,2007,10.3199/iscb.2.107,2022-04-04,"1881-5936,1881-8285",3,2007,107-112,International Society of Chromosome Botany,Crossref,General Medicine,Somatic chromosome studies of six species of Hylotelephium (Crassulaceae) in Asian continent,journal-article,http://dx.doi.org/10.3199/iscb.2.107,Chromosome Botany,en
Shokubutsugaku Zasshi,2014-07-15,2014-07-15,1898,10.15281/jplantres1887.12.134_en34,2022-03-28,0006-808X,134,1898,en34-en35,The Botanical Society of Japan,Crossref,Plant Science,List of Plants collected in Mt. Togakushi and its Vicinities.,journal-article,http://dx.doi.org/10.15281/jplantres1887.12.134_en34,Shokubutsugaku Zasshi,en
Agricultural and Biological Chemistry,2011-07-13,2022-02-18,1980,10.1271/bbb1961.44.663,2022-04-02,"0002-1369,1881-1280",3,1980,663-665,Oxford University Press (OUP),Crossref,"General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology","Synthesis of new 6,8-disubstituted 2-guanidino-4(3H)-quinazolinones as potential antifungal agents.",journal-article,http://dx.doi.org/10.1271/bbb1961.44.663,Agricultural and Biological Chemistry,en
Journal of Geography (Chigaku Zasshi),2011-07-13,2021-05-19,1995,10.5026/jgeography.104.5_719,2022-04-06,"0022-135X,1884-0884",5,1995,719-724,Tokyo Geographical Society,Crossref,"Earth-Surface Processes,Geology,Geophysics,Geography, Planning and Development,Global and Planetary Change","Coral Terraces on the Huon Peninsula, North Eastern Papua New Guinea. Nonarticulated Coralline Algal Flora of Present-day Coral Reefs on Huon Peninsula.",journal-article,http://dx.doi.org/10.5026/jgeography.104.5_719,Journal of Geography (Chigaku Zasshi),NA
Shokubutsugaku Zasshi,2014-07-15,2014-07-15,1936,10.15281/jplantres1887.50.608,2022-03-30,0006-808X,599,1936,608-609,The Botanical Society of Japan,Crossref,Plant Science,Nuntia ad Floram Japoni^|^aelig;. XXIX,journal-article,http://dx.doi.org/10.15281/jplantres1887.50.608,Shokubutsugaku Zasshi,en
Shokubutsugaku Zasshi,2014-07-15,2020-06-25,1911,10.15281/jplantres1887.25.288_9a,2022-04-01,"0006-808X,2185-3835",288,1911,en9-en18,The Botanical Society of Japan,Crossref,Plant Science,Observations on the Flora of Japan. (&lt;i&gt;Continued from vol. XXIV. p. 305&lt;/i&gt;.),journal-article,http://dx.doi.org/10.15281/jplantres1887.25.288_9a,Shokubutsugaku Zasshi,en
Bulletin of the Chemical Society of Japan,2006-07-25,2016-08-24,1990-06,10.1246/bcsj.63.1706,2022-06-25,"0009-2673,1348-0634",6,1990-06,1706-1712,The Chemical Society of Japan,Crossref,General Chemistry,"Total Synthesis of (−)-Chiloscyphone, Sesquiterpenoid Isolated from the Liverwort. Absolute Configuration of (−)-Chiloscyphone and (+)-Chiloscypholone",journal-article,http://dx.doi.org/10.1246/bcsj.63.1706,BCSJ,en
Crustacean Research,2017-11-27,2017-11-27,2012,10.18353/crustacea.special2012.7_75,2022-04-05,"0287-3478,2189-5317",7,2012,75-83,Carcinological Society of Japan,Crossref,General Medicine,Re-examination of Pacifastacus nigrescens (Decapoda: Astacidae),journal-article,http://dx.doi.org/10.18353/crustacea.special2012.7_75,Crust Res,en
Crustacean Research,2021-12-17,2021-12-18,2022,10.18353/crustacea.51.0_1,2022-04-06,"0287-3478,2189-5317",0,2022,1-10,Carcinological Society of Japan,Crossref,General Medicine,"Size at sexual maturity of male &lt;i&gt;Lucensosergia lucens&lt;/i&gt; (Decapoda: Sergestidae) in Suruga Bay, Japan",journal-article,http://dx.doi.org/10.18353/crustacea.51.0_1,Crust Res,en
Journal of Nutritional Science and Vitaminology,2011-09-13,2011-09-13,1996,10.3177/jnsv.42.397,2022-06-21,"0301-4800,1881-7742",5,1996,397-405,Center for Academic Publications Japan,Crossref,"Nutrition and Dietetics,Medicine (miscellaneous)",Nutritional Status of Vitamin A and E in Institutionalized Elderly People in Granada (Spain).,journal-article,http://dx.doi.org/10.3177/jnsv.42.397,"Journal of Nutritional Science and Vitaminology, J Nutr Sci Vitaminol",en
Japanese Journal of Pharmacology,2008-01-24,2021-09-02,1996,10.1254/jjp.72.335,2022-03-30,0021-5198,4,1996,335-346,Elsevier BV,Crossref,Pharmacology,Electrophysiological and Pharmacological Characteristics of Ionotropic Glutamate Receptors in Medial Vestibular Nucleus Neurons: A Whole Cell Patch Clamp Study in Acutely Dissociated Neurons,journal-article,http://dx.doi.org/10.1254/jjp.72.335,Japanese Journal of Pharmacology,en
The Review of Laser Engineering,2011-12-16,2021-05-21,2001,10.2184/lsj.29.496,2022-04-03,"0387-0200,1349-6603",8,2001,496-500,Laser Society of Japan,Crossref,NA,Information Technology Industry and Laser Technology. GI Polymer Optical Fiber Enabling Highest Data Transmission Worldwide.,journal-article,http://dx.doi.org/10.2184/lsj.29.496,"The Review of Laser Engineering,rle",en
Journal of Japan Society on Water Environment,2010-01-12,2021-05-20,2008,10.2965/jswe.31.463,2022-05-28,"0916-8958,1881-3690",8,2008,463-470,Japan Society on Water Environment,Crossref,NA,A Data Analysis on the High Concentration of Phytoplankton in the Upstream Reach of Nagara Rivermouth Barrage,journal-article,http://dx.doi.org/10.2965/jswe.31.463,"Mizu Kankyo Gakkaishi,Journal of Japan Society on Water Environment",ja
Engei Gakkai zasshi,2009-09-14,2022-11-04,1998,10.2503/jjshs.67.261,2022-11-04,"1880-358X,0013-7626",2,1998,261-269,Japanese Society for Horticultural Science,Crossref,"Horticulture,Electrical and Electronic Engineering,Building and Construction",In vitro Studies on Ethylene-Enhanced Chlorophyll Degrading Peroxidase and Its Reaction Products in Banana (Musa sapientum L.) Fruits.,journal-article,http://dx.doi.org/10.2503/jjshs.67.261,Engei Gakkai zasshi,en
GEOCHEMICAL JOURNAL,2013-03-22,2021-05-20,2010,10.2343/geochemj.1.0050,2023-02-15,0016-7002,2,2010,125-135,Geochemical Society of Japan,Crossref,"Geochemistry and Petrology,Geophysics","Groundwaters of Mt. Vulture volcano, southern Italy: Chemistry and sulfur isotope composition of dissolved sulfate",journal-article,http://dx.doi.org/10.2343/geochemj.1.0050,Geochem. J.,en
Circulation Journal,2018-10-04,2018-11-23,2018-11-24,10.1253/circj.cj-18-0709,2022-07-18,"1346-9843,1347-4820",12,2018-11-24,3082-3089,Japanese Circulation Society,Crossref,"Cardiology and Cardiovascular Medicine,General Medicine",Prognostic Impact of Computed Tomography-Derived Abdominal Fat Area on Transcatheter Aortic Valve Implantation,journal-article,http://dx.doi.org/10.1253/circj.cj-18-0709,Circ J,en
IEICE Transactions on Electronics,2009-03-19,2021-04-26,2009,10.1587/transele.e92.c.231,2022-12-27,"0916-8524,1745-1353",2,2009,231-238,"Institute of Electronics, Information and Communications Engineers (IEICE)",Crossref,"Electrical and Electronic Engineering,Electronic, Optical and Magnetic Materials",Optical Microsensors Integration Technologies for Biomedical Applications,journal-article,http://dx.doi.org/10.1587/transele.e92.c.231,IEICE Trans. Electron.,en
The Journal of the Geological Society of Japan,2021-12-31,2021-12-31,2021-10-15,10.5575/geosoc.erratum_2021.10,2022-04-01,"0016-7630,1349-9963",10,2021-10-15,650-650,The Geological Society of Japan,Crossref,"General Earth and Planetary Sciences,General Engineering,General Environmental Science",Erratum : Updating “the laws of convergence rate of plates” by Otsuki (1989),journal-article,http://dx.doi.org/10.5575/geosoc.erratum_2021.10,Jour. Geol. Soc. Japan,en
The Journal of the Geological Society of Japan,2021-12-14,2023-01-18,2021-09-15,10.5575/geosoc.2021.0008,2023-01-19,"0016-7630,1349-9963",9,2021-09-15,527-544,The Geological Society of Japan,Crossref,"General Earth and Planetary Sciences,General Engineering,General Environmental Science",Updating “the laws of convergence rate of plates” by Otsuki (1989),journal-article,http://dx.doi.org/10.5575/geosoc.2021.0008,Jour. Geol. Soc. Japan,en
Agricultural and Biological Chemistry,2011-07-13,2022-02-18,1984,10.1271/bbb1961.48.373,2022-07-06,"0002-1369,1881-1280",2,1984,373-376,Oxford University Press (OUP),Crossref,"General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology",Germination inhibitor from Eucalyptus pulverulenta.,journal-article,http://dx.doi.org/10.1271/bbb1961.48.373,Agricultural and Biological Chemistry,en
CYTOLOGIA,2011-10-14,2021-04-17,1988,10.1508/cytologia.53.393,2022-11-24,"0011-4545,1348-7019",2,1988,393-399,International Society of Cytology,Crossref,"Cell Biology,Plant Science,Genetics,Animal Science and Zoology",Cytological studies in the genus Leucaena Benth.,journal-article,http://dx.doi.org/10.1508/cytologia.53.393,"CYTOLOGIA,cytologia",en
Agricultural and Biological Chemistry,2011-07-13,2022-02-18,1985,10.1271/bbb1961.49.761,2022-04-03,"0002-1369,1881-1280",3,1985,761-768,Oxford University Press (OUP),Crossref,"General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology",Structure/activity relationships of grandinol: A germination inhibitor in Eucalyptus.,journal-article,http://dx.doi.org/10.1271/bbb1961.49.761,Agricultural and Biological Chemistry,en
CYTOLOGIA,2011-10-14,2021-04-15,1939,10.1508/cytologia.10.205,2022-03-29,"0011-4545,1348-7019",1-2,1939,205-212,International Society of Cytology,Crossref,"Cell Biology,Plant Science,Genetics,Animal Science and Zoology",Studies on the Chromosome Numbers in Higher Plants III,journal-article,http://dx.doi.org/10.1508/cytologia.10.205,"CYTOLOGIA,cytologia",en
Agricultural and Biological Chemistry,2011-07-13,2022-02-18,1981,10.1271/bbb1961.45.735,2023-01-14,"0002-1369,1881-1280",3,1981,735-739,Oxford University Press (OUP),Crossref,"General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology",A novel type of antioxidant isolated from leaf wax of Eucalyptus leaves.,journal-article,http://dx.doi.org/10.1271/bbb1961.45.735,Agricultural and Biological Chemistry,en
Shokubutsugaku Zasshi,2014-07-15,2014-07-15,1891,10.15281/jplantres1887.5.197,2022-04-04,0006-808X,52,1891,197-200,The Botanical Society of Japan,Crossref,Plant Science,New Japanese Lichens,journal-article,http://dx.doi.org/10.15281/jplantres1887.5.197,Shokubutsugaku Zasshi,en
Agricultural and Biological Chemistry,2011-07-13,2022-02-18,1990,10.1271/bbb1961.54.231,2022-04-02,"0002-1369,1881-1280",1,1990,231-232,Oxford University Press (OUP),Crossref,"General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology",Antibacterial compounds from Eucalyptus perriniana.,journal-article,http://dx.doi.org/10.1271/bbb1961.54.231,Agricultural and Biological Chemistry,en
Journal of Health Science,2009-10-01,2021-03-19,2009,10.1248/jhs.55.732,2023-02-10,"1344-9702,1347-5207",5,2009,732-738,Pharmaceutical Society of Japan,Crossref,"Health, Toxicology and Mutagenesis,Toxicology","Antioxidant Properties and .ALPHA.-amylase Inhibition of Terminalia superba, Albizia sp., Cola nitida, Cola odorata and Harungana madagascarensis Used in the Management of Diabetes in Cameroon",journal-article,http://dx.doi.org/10.1248/jhs.55.732,"JOURNAL OF HEALTH SCIENCE,J. Health Sci.",en
Eiyo To Shokuryo,2011-08-16,2021-05-20,1976,10.4327/jsnfs1949.29.307,2022-04-03,1883-8863,6,1976,307-310,Japanese Society of Nutrition and Food Science,Crossref,"Cell Biology,Developmental Biology,Embryology,Anatomy",Neutritive Evaluation of Euphausia superba Protein in Rats,journal-article,http://dx.doi.org/10.4327/jsnfs1949.29.307,JJSFN,ja
Japanese Journal of Ornithology,2011-09-20,2021-05-20,1920,10.3838/jjo1915.2.9_239,2022-03-29,"0040-9480,1881-9702",9,1920,239-242,JStage (Ornithological Society of Japan),Crossref,NA,On the sexual differences of Pseudotadorna cristata Kuroda,journal-article,http://dx.doi.org/10.3838/jjo1915.2.9_239,Japanese Journal of Ornithology,NA
Eiyo To Shokuryo,2011-08-16,2021-05-20,1978,10.4327/jsnfs1949.31.129,2022-04-04,1883-8863,2,1978,129-133,Japanese Society of Nutrition and Food Science,Crossref,"Cell Biology,Developmental Biology,Embryology,Anatomy","Activities of Protease, Tyrosinase and Myosin ATPase in Euphausia superba",journal-article,http://dx.doi.org/10.4327/jsnfs1949.31.129,JJSFN,ja
Eiyo To Shokuryo,2011-08-16,2021-05-20,1976,10.4327/jsnfs1949.29.347,2022-04-01,1883-8863,6,1976,347-350,Japanese Society of Nutrition and Food Science,Crossref,"Cell Biology,Developmental Biology,Embryology,Anatomy",Extraction of Euphausia superba Protein and it's Several Charactors,journal-article,http://dx.doi.org/10.4327/jsnfs1949.29.347,JJSFN,ja
"Bioscience, Biotechnology, and Biochemistry",2010-05-07,2022-06-07,2010-05-23,10.1271/bbb.90727,2022-06-07,"0916-8451,1347-6947",5,2010-05-23,923-927,Informa UK Limited,Crossref,"Organic Chemistry,Molecular Biology,Applied Microbiology and Biotechnology,General Medicine,Biochemistry,Analytical Chemistry,Biotechnology","Mutagenic and Antimutagenic Effects of the Traditional Herb Used for Treating Erectile Dysfunction,<i>Butea superba</i>Roxb.",journal-article,http://dx.doi.org/10.1271/bbb.90727,"Bioscience, Biotechnology, and Biochemistry",en
Eiyo To Shokuryo,2011-08-16,2021-05-20,1977,10.4327/jsnfs1949.30.283,2022-03-31,1883-8863,5,1977,283-289,Japanese Society of Nutrition and Food Science,Crossref,"Cell Biology,Developmental Biology,Embryology,Anatomy",The Reaction of Preboiled Euphausia superba Autoxidized USFA with VBN or Non-VBN Fraction,journal-article,http://dx.doi.org/10.4327/jsnfs1949.30.283,JJSFN,ja
Journal of Japan Oil Chemists' Society,2011-06-29,2022-06-30,1964,10.5650/jos1956.13.203,2022-06-30,1884-2003,4,1964,203-206,Japan Oil Chemists' Society,Crossref,General Medicine,Acetone-soluble Lipid,journal-article,http://dx.doi.org/10.5650/jos1956.13.203,J. Jpn. Oil. Chem. Soc.,NA
Journal of the Japanese Society for Horticultural Science,2006-05-22,2022-11-04,2006,10.2503/jjshs.75.273,2022-11-04,"0013-7626,1880-358X",3,2006,273-275,Japanese Society for Horticultural Science,Crossref,"Horticulture,Electrical and Electronic Engineering,Building and Construction",Compatibility of Interspecific Hybridization in Zantedeschia,journal-article,http://dx.doi.org/10.2503/jjshs.75.273,J. Japan. Soc. Hort. Sci.,NA
Journal of Pharmacological Sciences,2014-03-18,2021-05-19,2014,10.1254/jphs.13252fp,2022-09-27,"1347-8613,1347-8648",4,2014,457-467,Japanese Pharmacological Society,Crossref,"Pharmacology,Molecular Medicine",Butea superba–Induced Amelioration of Cognitive and Emotional Deficits in Olfactory Bulbectomized Mice and Putative Mechanisms Underlying Its Actions,journal-article,http://dx.doi.org/10.1254/jphs.13252fp,J Pharmacol Sci,en
Eiyo To Shokuryo,2011-08-16,2021-05-20,1977,10.4327/jsnfs1949.30.181,2022-04-06,1883-8863,4,1977,181-186,Japanese Society of Nutrition and Food Science,Crossref,"Cell Biology,Developmental Biology,Embryology,Anatomy",Supplemental Effects of Euphausia superba Protein Concentrate to Wheat Gluten,journal-article,http://dx.doi.org/10.4327/jsnfs1949.30.181,JJSFN,ja
Agricultural and Biological Chemistry,2011-07-13,2022-02-18,1982,10.1271/bbb1961.46.691,2022-03-31,"0002-1369,1881-1280",3,1982,691-696,Oxford University Press (OUP),Crossref,"General Agricultural and Biological Sciences,General Biochemistry, Genetics and Molecular Biology",Purification and some properties of two ribonucleases from Euphausia superba.,journal-article,http://dx.doi.org/10.1271/bbb1961.46.691,Agricultural and Biological Chemistry,en
"Bioscience, Biotechnology, and Biochemistry",2010-11-08,2022-06-07,2010-11-23,10.1271/bbb.100159,2022-06-07,"0916-8451,1347-6947",11,2010-11-23,2176-2182,Informa UK Limited,Crossref,"Organic Chemistry,Molecular Biology,Applied Microbiology and Biotechnology,General Medicine,Biochemistry,Analytical Chemistry,Biotechnology","Estrogenic and Anti-Estrogenic Activities of the Thai Traditional Herb,<i>Butea superba</i>Roxb.",journal-article,http://dx.doi.org/10.1271/bbb.100159,"Bioscience, Biotechnology, and Biochemistry",en
CYTOLOGIA,2022-06-24,2022-06-25,2022-06-25,10.1508/cytologia.87.195,2022-06-25,"0011-4545,1348-7019",2,2022-06-25,195-200,International Society of Cytology,Crossref,"Cell Biology,Plant Science,Genetics,Animal Science and Zoology",Cytological Studies in Endangered &lt;i&gt;Phlomoides superba&lt;/i&gt; (Royle ex Benth.) Kamelin &amp; Makhm.,journal-article,http://dx.doi.org/10.1508/cytologia.87.195,"CYTOLOGIA,cytologia",en
Journal of Japan Oil Chemists' Society,2011-06-29,2022-06-30,1964,10.5650/jos1956.13.477,2022-06-30,1884-2003,9,1964,477-480,Japan Oil Chemists' Society,Crossref,General Medicine,"Studies on the Lipid of Euphausiacea, Euphausia superba. II",journal-article,http://dx.doi.org/10.5650/jos1956.13.477,J. Jpn. Oil. Chem. Soc.,NA
Chemical and Pharmaceutical Bulletin,2011-12-08,2021-03-16,1976,10.1248/cpb.24.2102,2022-04-04,"0009-2363,1347-5223",9,1976,2102-2105,Pharmaceutical Society of Japan,Crossref,"Drug Discovery,General Chemistry,General Medicine",Studies on the constituents of enkianthus nudipes. V. A new lignan xyloside from the stems.,journal-article,http://dx.doi.org/10.1248/cpb.24.2102,"CHEMICAL &amp; PHARMACEUTICAL BULLETIN,Chem. Pharm. Bull.",en
YAKUGAKU ZASSHI,2017-04-20,2017-04-20,1973,10.1248/yakushi1947.93.2_223,2022-04-02,"0031-6903,1347-5231",2,1973,223-225,Pharmaceutical Society of Japan,Crossref,"Pharmaceutical Science,Pharmacology",Studies on the Constituents of Enkianthus nudipes. III. A New Phenolic Glucoside from the Stems,journal-article,http://dx.doi.org/10.1248/yakushi1947.93.2_223,YAKUGAKU ZASSHI,en
YAKUGAKU ZASSHI,2017-04-20,2017-04-20,1972,10.1248/yakushi1947.92.11_1395,2022-04-01,"0031-6903,1347-5231",11,1972,1395-1399,Pharmaceutical Society of Japan,Crossref,"Pharmaceutical Science,Pharmacology",Studies on the Constituents of Enkianthus nudipes. II. The Structure and the Absolute Configuration of a New Catechin Compound from the Leaves,journal-article,http://dx.doi.org/10.1248/yakushi1947.92.11_1395,YAKUGAKU ZASSHI,en
YAKUGAKU ZASSHI,2017-04-20,2017-04-20,1975,10.1248/yakushi1947.95.6_655,2022-04-01,"0031-6903,1347-5231",6,1975,655-658,Pharmaceutical Society of Japan,Crossref,"Pharmaceutical Science,Pharmacology",Studies on the Constituents of Enkianthus nudipes. IV. A New Flavone Glucoside from the Stems,journal-article,http://dx.doi.org/10.1248/yakushi1947.95.6_655,YAKUGAKU ZASSHI,en
YAKUGAKU ZASSHI,2017-04-20,2017-04-20,1970,10.1248/yakushi1947.90.9_1081,2022-06-18,"0031-6903,1347-5231",9,1970,1081-1087,Pharmaceutical Society of Japan,Crossref,"Pharmaceutical Science,Pharmacology",Studies on the Constituents of Enkianthus nudipes. I. : New Flavan Glucosides of the Leaves and Its Absolute Configuration,journal-article,http://dx.doi.org/10.1248/yakushi1947.90.9_1081,YAKUGAKU ZASSHI,en
